,ascore,f score ,Name,Category,Subcategory,Description,Motto ,Size ,State,Adress,Website ,Facebook,Instagram,Twitter,Youtube,Logo
1,100,100,Nevada Humane Society,Animals,"Animal Rights, Welfare, and Services","Nevada Humane Society's mission is to find homes and provide care for homeless pets, bringing people and animals together to make Washoe County and Carson City no-kill communities. This is accomplished through quality animal care, comprehensive adoption programs, accessible low-cost spay/neuter services, and a free Animal Help Desk.","A no-kill animal shelter, creating and sustaining no-kill communities.",Mid,Nevada,"2825 Longley Lane, Suite B Reno, NV 89502",https://nevadahumanesociety.org/,https://www.facebook.com/nevadahumanesociety/,https://www.instagram.com/nevadahumanesociety/,https://twitter.com/NVHumaneSociety,https://www.youtube.com/user/NevadaHumaneSociety,Avaliable
2,100,100,United Way of Greater Houston,Community Development,,"For 87 years, United Way of Greater Houston has been the social services safety net for the Greater Houston Area. United Way is a leader and trusted partner in improving lives, tackling key community social issues, and making a lasting difference. United Way of Greater Houston touches one of every two lives in the Bay Area, Fort Bend, Harris, Montgomery and Waller counties. United Way of Greater Houston seeks to increase the organized capacity of people to care for themselves and others and to mobilize our community to make lasting improvements in critical needs areas. We are the only organization in Houston embracing the entire circle of life by focusing on: children and youth, families and neighborhoods, seniors, and people rebuilding their lives.",Live united,Big,Texas,"Building A, 1300 Bay Area Blvd A, Houston, TX 77058",https://www.unitedwayhouston.org/,https://www.facebook.com/unitedwayhouston,https://www.instagram.com/unitedwayhouston/,https://twitter.com/HouUnitedWay,https://www.youtube.com/user/unitedwayhouston,Avaliable
3,100,100,Seeds of Hope Charitable Trust,Education,Scholarship and Financial Support,"The mission of Seeds of Hope Charitable Trust is to make the tremendous benefits of Catholic education available to economically disadvantaged children. Through tuition assistance grants, Seeds of Hope supports low-income families wishing to attain a faith-based Catholic education for their children.",Cultivating minds and hearts for Christ,Mid,Colorado, 1300 South Steele Street Denver  CO 80210 ,,https://www.facebook.com/SeedsofHopeDenver/,None,https://twitter.com/seedsofhopeden,https://www.youtube.com/channel/UC6l5l8sbQFTsIB3qg5iNf5w,Avaliable
4,100,100,Southern Environmental Law Center,Environment,Environmental Protection and Conservation,"The Southern Environmental Law Center uses the power of law and policy to protect the environment in six states: Alabama, Georgia, North Carolina, South Carolina, Tennessee, and Virginia. SELC's attorneys work in all branches and at all levels of government to defend healthy air and clean water; to protect the region's forests, coasts, wetlands, and other native landscapes; and to promote vibrant and livable communities across the Southeast.",Using the power of law to protect the environment and health of the Southeast,Big,Virginia,201 Main Street Suite 14 Charlottesville VA 22902  ,https://www.southernenvironment.org/,https://www.facebook.com/southernenvironment,https://www.instagram.com/southernenvironment/,https://twitter.com/selc_org,https://www.youtube.com/user/selcva,Avaliable
5,100,100,The Lustgarten Foundation for Pancreatic Cancer Research,Health,Medical Research,"The Lustgarten Foundation for Pancreatic Cancer Research advances the scientific and medical research related to the diagnosis, treatment, cure and prevention of pancreatic cancer by: increasing funding and support of research into the biological mechanisms and clinical strategies related to prevention, diagnosis, and treatment; facilitating and enhancing the dialog among members of the medical and scientific communities; advocating an increase in the annual budget of the National Cancer Institute with emphasis on research related to pancreatic cancer; and heightening the public's awareness of pancreatic cancer diagnosis, treatment, and prevention and providing informational support for pancreatic cancer patients, their families, and friends.",Cure Pancreatic Cancer.,Big,New York,"415 Crossways Park Drive, Suite D, Woodbury, NY 11797",https://lustgarten.org/,https://www.facebook.com/LustgartenFDN/,https://www.instagram.com/lustgartenfdn/,https://twitter.com/lustgartenfdn,None,Avaliable
6,100,100,Lifesong for Orphans,Human Services,Children's and Family Services,"Lifesong for Orphans seeks to mobilize the Church, His body, where each member can provide a unique and special service: some to adopt, some to care, some to give. A struggling business, a simple vow to further God's Kingdom, and many divine encounters. These would be used as catalysts to begin, what is now, Lifesong for Orphans. With a family culture and a heart for the world's fatherless, Lifesong for Orphans offers adoption financial assistance, foster care support, church and ministry partnerships, and international orphan care by serving advocates who help carry out this work of bringing joy and purpose to orphans.",Bringing joy and purpose to orphans,Big,Illinois,101 North Western Avenue Gridley IL 61744,https://lifesong.org/,https://www.facebook.com/lifesongfororphans,https://www.instagram.com/lifesongfororphans/,https://twitter.com/lifesongorphans,None,Avaliable
7,100,100,Matthew 25: Ministries,International,Humanitarian Relief Supplies,"Matthew 25 Ministries (M25M) is an international humanitarian aid and disaster relief organization helping the poorest of the poor locally, nationally and internationally regardless of race, creed or political persuasion. By rescuing and reusing products from major corporations, manufacturers, hospitals and individuals, Matthew 25: Ministries provides basic necessities, skill development and disaster relief across the US and worldwide. Since its founding in 1991, M25M has shipped more than 170,000,000 pounds of aid across the US and into more than 60 countries worldwide.",Caring for a needy world with the things we throw away,Big,Ohio,"11060 Kenwood Road, Blue Ash, OH, 45242  ",https://m25m.org/,https://www.facebook.com/m25m.org,https://www.instagram.com/M25M_org/,https://twitter.com/m25m_org,https://www.youtube.com/user/matthew25ministries,Avaliable
8,97,100,WETA,"Arts, Culture, Humanities",Public Broadcasting and Media,"Founded in 1961, WETA (The Greater Washington Educational Telecommunications Association) is the leading public broadcasting station in the nation's capital, serving Virginia, Maryland and the District of Columbia with educational, cultural, news and public affairs programs and services. WETA's mission is to produce and broadcast programs of intellectual integrity and cultural merit that recognize viewers' and listeners' intelligence, curiosity and interest in the world around them. As an independent broadcaster and producer, WETA provides its viewers and listeners with quality, compelling programs and serves a broad community with educational projects and Web-based initiatives. In addition to our broadcasts and productions, WETA is a steadfast believer in the power of media to educate, and we have developed valuable national education services.",Washington's source for compelling television and inspiring classical music,Big,Virginia,3939 Campbell Avenue Arlington VA 22206 ,https://weta.org/,https://www.facebook.com/wetatvfm/,https://www.instagram.com/wetatvfm/,https://twitter.com/wetatvfm,None,Avaliable
9,100,100,MAP International,International,Humanitarian Relief Supplies,MAP International is a Christian organization providing life-changing medicines and health supplies to people in need.,Medicine For The World,Big,Georgia,"4700 Glynco Pkwy, Brunswick, GA 31525",https://www.map.org/,https://www.facebook.com/mapintl,None,https://twitter.com/mapintl,None,Avaliable
10,100,100,Weld Food Bank,Human Services,"Food Banks, Food Pantries, and Food Distribution","Weld Food Bank's (WFB) mission is to lead and engage our community in the fight against hunger. WFB collects, stores, and processes food to distribute it to low-income people. We glean food from manufacturers, farmers, distributors, grocers and community food drives in order to make it available to hungry people in our community. We are an affiliate of Feeding America, the largest hunger relief organization in the United States.",Fighting hunger . . .together,Big,Colorado,"1108 H Street Greeley, CO 80631",https://weldfoodbank.org/,https://www.facebook.com/weldfoodbank/,https://www.instagram.com/weldfoodbank/,https://twitter.com/weldfoodbank,None,Avaliable
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
